Title,Type,Edition Type,Edition,Strategy,Author,Copyright Owner,Source,Description
Lethaeus,0,0,,4,Silentroom,lowiro Ltd.,https://www.youtube.com/watch?v=aRnrKsuV-Uo,
Alismonitos Lethaeus,0,0,,4,Silentroom,lowiro Ltd.,https://www.youtube.com/watch?v=Ox5ZaEGj_Vo,
corps-sans-organes,0,0,,4,cybermiso,lowiro Ltd.,https://www.youtube.com/watch?v=1seOWiEWhWc,
corps-sans-organes,0,1,Extended Ver.,4,cybermiso,lowiro Ltd.,https://www.youtube.com/watch?v=oau2Pb0oRTM,
Silent Rush,0,0,,4,Soleily,lowiro Ltd.,https://www.youtube.com/watch?v=il_rXPZiLJQ,
Strongholds,0,0,,4,Yooh,lowiro Ltd.,https://www.youtube.com/watch?v=_b3i_dkWjFk,
Strongholds,0,1,Extended Mix,4,Yooh,lowiro Ltd.,https://www.youtube.com/watch?v=7MnANr6hAzo,
next to you,0,0,,4,uma feat. 橘花音,lowiro Ltd.,https://www.youtube.com/watch?v=f_5I5jCTaPo,
next to you (MRM Remix),0,0,,4,uma feat. 橘花音,lowiro Ltd.,https://www.youtube.com/watch?v=VTiVV5Xf9qM,
Memory Forest,0,0,,4,ETIA.,lowiro Ltd.,https://www.youtube.com/watch?v=4aauFNtEGVY,
Singularity,0,0,,4,ETIA.,lowiro Ltd.,https://www.youtube.com/watch?v=-t_jqpK5884,
Singularity VVVIP,0,0,,4,Arcaea Sound Team against. ETIA.,lowiro Ltd.,https://www.youtube.com/watch?v=BYk0fGXqQxY,
Singularity,0,1,Infomorph,4,ETIA.,lowiro Ltd.,https://3t1a.bandcamp.com/track/singularity,
Ascent,0,0,,4,TANUKI,lowiro Ltd.,https://www.youtube.com/watch?v=eUwyStf5HkI,
Cosmica,0,0,,4,Nhato,lowiro Ltd.,https://x.com/arcaea_en/status/1458575381703843840,
Live Fast Die Young,0,0,,4,anubasu-anubasu,lowiro Ltd.,https://www.youtube.com/watch?v=dRf-jXeUq5E,
Corruption,0,0,,4,3R2,lowiro Ltd.,https://www.youtube.com/watch?v=WRscRu4e05U,
Antithese,0,0,,4,Blacklolita,lowiro Ltd.,https://www.youtube.com/watch?v=-HBjrIq821s,
Black Territory,0,0,,4,DJ Myosuke,lowiro Ltd.,https://www.youtube.com/watch?v=aNMozjHx0M4,
Black Territory,0,1,Extended Mix,4,DJ Myosuke,lowiro Ltd.,https://www.youtube.com/watch?v=vdOAxwCH6gI,
Vicious Heroism,0,0,,4,Kobaryo,lowiro Ltd.,https://www.youtube.com/watch?v=BRtIFK64RAw,
Vicious Heroism,0,1,-Traitor Version-,4,Kobaryo,lowiro Ltd.,https://www.youtube.com/watch?v=QFlEUEndv_s,
Cyaegha,0,0,,4,USAO,lowiro Ltd.,https://www.youtube.com/watch?v=OW8pMvedAtM,
Cyaegha,0,1,Extended Mix,4,USAO,lowiro Ltd.,https://www.youtube.com/watch?v=Xyy7bvMc6eA,
Cyaegha (Laur Remix),0,0,,4,USAO,lowiro Ltd.,https://www.youtube.com/watch?v=sbYT8TTr0Wk,
AI [UE] OON,0,0,,4,MYUKKE.,lowiro Ltd.,https://www.youtube.com/watch?v=QtvkQvNrNsU,
Chelsea,0,0,,4,7mai,lowiro Ltd.,https://www.youtube.com/watch?v=2QbPRKyiHcI,
Tie me down gently,0,0,,4,溝口ゆうま feat. 大瀬良あい,lowiro Ltd.,https://www.youtube.com/watch?v=1eBObZ7-2lw,
Tie me down gently,0,1,long ver.,4,溝口ゆうま feat. 大瀬良あい,lowiro Ltd.,https://rosarium-aicd004.tumblr.com/,
Valhalla:0,0,0,,4,Juggernaut.,lowiro Ltd.,https://www.youtube.com/watch?v=xR2ZdtZ4N50,
Valhalla:0,0,1,Extended,4,Juggernaut.,lowiro Ltd.,https://www.youtube.com/watch?v=BklQjZxD-k4,
A Wandering Melody of Love,0,0,,4,からとPαnchii少年 feat.はるの,lowiro Ltd.,https://www.youtube.com/watch?v=oc3NUetF9UA,
迷える音色は恋の唄,0,0,,4,からとPαnchii少年 feat.はるの,lowiro Ltd.,https://www.youtube.com/watch?v=oc3NUetF9UA,
Alice's Suitcase,0,0,,4,Endorfin.,lowiro Ltd.,https://www.youtube.com/watch?v=mfxCpSG8Hws,
Alice's Suitcase,0,1,Instrumental,4,Endorfin.,lowiro Ltd.,https://www.youtube.com/watch?v=BzgoPhagzoM,
Alice's Suitcase,0,1,Full Ver.,4,Endorfin.,lowiro Ltd.,https://www.youtube.com/watch?v=Sg5EK3koalc,
Alice à la mode,0,0,,4,Masanori Akita,lowiro Ltd.,https://www.youtube.com/watch?v=BOHtSPLo1Og,
Eccentric Tale,0,0,,4,Yamajet,lowiro Ltd.,https://www.youtube.com/watch?v=NHP0BIqCFkY,
Jump,0,0,,4,Rasmus Faber,lowiro Ltd.,https://www.youtube.com/watch?v=V3PMm3BSYkk,
Felis,0,0,,4,M2U,lowiro Ltd.,https://www.youtube.com/watch?v=KTkvsrtyDlw,
Heart Jackin',0,0,,4,Yu_Asahina,lowiro Ltd.,https://www.youtube.com/watch?v=UZ27cT-1ldA,
Beside You,0,0,,4,江口孝宏,lowiro Ltd.,https://www.youtube.com/watch?v=mqOnjOnydtY,
Beside You,0,1,Extended Version,4,江口孝宏,lowiro Ltd.,https://www.youtube.com/watch?v=-cMOp2RgvNw,
To：Alice Liddell,0,0,,4,モリモリあつし,lowiro Ltd.,https://www.youtube.com/watch?v=ZQTkXgdTx88,
First Snow,0,0,,4,黒魔,lowiro Ltd.,https://www.youtube.com/watch?v=rOdHEa78SpI,
First Snow,0,1,Extended Mix,4,黒魔,lowiro Ltd.,https://www.youtube.com/watch?v=TSMeuV2WHTY,
Blue Rose,0,0,,4,Cosmograph,lowiro Ltd.,https://www.youtube.com/watch?v=HVRZGQeP_es,
Blocked Library,0,0,,4,影虎。,lowiro Ltd.,https://www.youtube.com/watch?v=JMSxnUycBlM,
Blocked Library,0,1,extended,4,影虎。,lowiro Ltd.,https://www.youtube.com/watch?v=1Yo_E60HqWQ,
nέο κόsmo,0,0,,4,ak+q × Street,lowiro Ltd.,https://www.youtube.com/watch?v=xVUnIxMdg8k,
Lightning Screw,0,0,,4,HiTECH NINJA,lowiro Ltd.,https://www.youtube.com/watch?v=8oQyxU9Eg_s,
Paper Witch,0,0,,4,Yu-dachi,lowiro Ltd.,https://www.youtube.com/watch?v=-_uoaFMngWg,
Crystal Gravity,0,0,,4,Tanchiky vs. siromaru,lowiro Ltd.,https://www.youtube.com/watch?v=KNTbZh0p_Hs,
Crystal Gravity,0,1,Extended,4,Tanchiky vs. siromaru,lowiro Ltd.,https://www.youtube.com/watch?v=xFEzR_QyPf4,
Crystal Gravity (siromaru Remix),0,0,,4,Tanchiky vs. siromaru,lowiro Ltd.,https://www.youtube.com/watch?v=vTASHDYeZbI,
Crystal Gravity (Tanchiky Remix),0,0,,4,Tanchiky vs. siromaru,lowiro Ltd.,https://www.youtube.com/watch?v=pvgtir3wGjE,
Crystal Gravity,0,1,ver τ mix,4,Tanchiky vs. siromaru,lowiro Ltd.,https://www.youtube.com/watch?v=MlyX5skuuz8,
Far Away Light,0,0,,4,technoplanet feat. はるの & 黒沢ダイスケ,lowiro Ltd.,https://www.youtube.com/watch?v=8-s7xRrC6oo,
Seclusion,0,0,,4,Laur feat. Sennzai,lowiro Ltd.,https://www.youtube.com/watch?v=xrkvNR_E_tw,
Löschen,0,0,,4,BlackY feat. Risa Yuzuki,lowiro Ltd.,https://www.youtube.com/watch?v=nR5JCn7hiM0,
Löschen ,0,1,Long ver.,4,BlackY feat. Risa Yuzuki,lowiro Ltd.,https://www.youtube.com/watch?v=jlXsysrpZvA,
Aegleseeker,0,0,,4,Silentroom vs Frums,lowiro Ltd.,https://www.youtube.com/watch?v=s0K53t4dNyg,
Aegleseeker,0,1,"""Afterworld"" Full Version",4,Silentroom vs Frums,lowiro Ltd.,https://www.youtube.com/watch?v=wq7BdtAFU5w,
